year,county,president_dem,president_rep,president_total,governor_dem,governor_rep,governor_total,us_senate_dem,us_senate_rep,us_senate_total,attorney_general_dem,attorney_general_rep,attorney_general_total,cfo_dem,cfo_rep,cfo_total,agriculture_commissioner_dem,agriculture_commissioner_rep,agriculture_commissioner_total,us_house_dem,us_house_rep,us_house_total,state_senate_dem,state_senate_rep,state_senate_total,state_house_dem,state_house_rep,state_house_total
2022,Hardee,0,0,0,949,4558,5536,981,4480,5522,894,4591,5485,999,4409,5408,942,4422,5364,0,4513,5308,908,4540,5448,0,0,0
2022,Hendry,0,0,0,2052,6134,8261,2121,6008,8233,2110,6038,8148,2161,5919,8080,2117,5988,8105,0,6114,7802,0,0,0,0,0,0
2022,Hernando,0,0,0,23700,56247,80415,24298,54822,80149,22422,57154,79576,23702,55110,78812,22855,55997,78852,23761,55717,79478,0,55330,76831,23320,55233,78553
2022,Highlands,0,0,0,9994,29518,39825,10480,28777,39731,9570,29906,39476,10273,28872,39145,10002,29116,39118,0,29491,37671,0,0,0,0,0,0
2022,Hillsborough,0,0,0,217349,261936,483514,222378,253495,482343,211378,268026,479404,217007,257725,474732,213504,260234,473738,226263,249997,476266,181602,198366,379968,192196,243080,435276
2022,Holmes,0,0,0,533,6214,6782,556,6151,6770,537,6209,6746,537,6201,6738,583,6136,6719,598,6149,6747,592,6128,6720,0,0,0
2022,Indian River,0,0,0,24744,52269,77400,25613,50878,77192,23678,52607,76285,24489,50957,75446,24109,51035,75144,24637,51480,76117,0,0,0,24306,51321,75627
2022,Jackson,0,0,0,3835,12412,16326,3956,12188,16279,3769,12456,16225,3841,12394,16235,3983,12192,16175,4133,12137,16270,3918,12226,16144,0,0,0
2022,Jefferson,0,0,0,2776,4310,7127,2929,4137,7124,2615,4459,7074,2697,4318,7015,2734,4287,7021,2973,4137,7110,2962,4114,7076,0,0,0
2022,Lafayette,0,0,0,294,2617,2918,348,2521,2907,273,2618,2891,320,2555,2875,299,2584,2883,297,2571,2896,330,2533,2863,0,0,0
2022,Lake,0,0,0,52579,106578,160160,55377,103103,160013,49055,109246,158301,52205,104794,156999,52147,104894,157041,36029,107062,155702,54072,102253,156325,23001,94752,141722
2022,Lee,0,0,0,84739,189335,275239,87108,185123,274510,83426,187177,270603,84378,183419,267797,85482,181963,267445,88543,182794,271657,9125,171396,182214,57450,115398,172848
2022,Leon,0,0,0,67535,49244,117751,69677,46511,117487,63860,52498,116358,63931,51663,115594,65677,49379,115056,70792,46430,117222,69929,46949,116878,26342,8774,35116
2022,Levy,0,0,0,3758,14049,17914,3944,13690,17865,3735,14079,17814,3926,13738,17664,3882,13864,17746,3935,13648,17830,3909,13799,17708,4142,13616,17758
2022,Liberty,0,0,0,371,2234,2617,405,2164,2602,363,2231,2594,373,2220,2593,411,2168,2579,489,2121,2610,496,2082,2578,0,0,0
2022,Madison,0,0,0,2293,4661,6981,2442,4476,6976,2169,4783,6952,2288,4608,6896,2283,4640,6923,2467,4494,6961,2357,4574,6931,0,0,0
2022,Manatee,0,0,0,59801,111109,171730,61423,108234,171394,56730,113464,170194,58841,109967,168808,58736,109873,168609,58725,111719,170459,0,0,0,34893,72271,107164
2022,Marion,0,0,0,47129,108027,156050,49698,104655,155791,44673,109859,154532,47470,105610,153080,47126,105861,152987,29361,106340,149373,47346,106202,153548,7252,10336,17588
2022,Martin,0,0,0,23748,53595,77667,24639,52312,77564,22614,54012,76626,23385,52616,76001,23379,52322,75701,22233,55018,77251,0,0,0,22718,53509,76227
2022,Miami-Dade,0,0,0,312972,393532,711851,318978,386251,711715,317204,381306,698510,311005,383095,694100,318561,376524,695085,319547,384931,704500,131225,169514,300739,146372,207451,353823
2022,Monroe,0,0,0,13314,20479,34004,13756,19897,33972,13037,20428,33465,12992,20188,33180,13267,19946,33213,13183,20421,33610,0,0,0,13005,20403,33408
2022,Nassau,0,0,0,10973,36551,47764,11337,35944,47713,10225,37044,47269,10682,36222,46904,10773,36084,46857,10387,37021,47409,10628,36399,47027,0,38555,39092
2022,Okaloosa,0,0,0,18569,61715,81008,18851,60808,80789,18338,61888,80226,18521,61233,79754,19007,60613,79620,23015,56621,79636,19269,60093,79362,0,10427,10451
2022,Okeechobee,0,0,0,2079,8746,10886,2218,8532,10863,2025,8704,10729,2179,8428,10607,2087,8588,10675,0,8561,10429,0,0,0,0,0,0
2022,Orange,0,0,0,216221,187653,407230,225569,177105,407053,209882,191792,401674,213592,184797,398389,216682,181911,398593,217936,179386,401929,147905,125121,273026,197213,152394,354208
2022,Osceola,0,0,0,47387,54330,102825,49907,51422,102693,47256,54536,101792,48569,52405,100974,48938,52117,101055,52827,48929,101756,50724,50444,101168,49682,50463,101171
2022,Palm Beach,0,0,0,262655,278454,543788,269839,267715,542618,259365,278339,537704,262203,271302,533505,262871,269778,532649,273863,263397,538330,223014,188418,411432,266358,267166,533524
2022,Pasco,0,0,0,75342,148083,224980,77664,143760,224441,71391,151504,222895,75064,145736,220800,73573,147319,220892,73767,148872,222642,66205,147377,220220,28135,110484,157015
